,Признак,коэффициент Спирмана,feature importance
215,area_0_90_hull_0.25,0.40926270008155546,0.39870537121297
349,area_0_90_circle_0.45,0.40664005164665756,0.30780502950476635
346,area_0_110_hull_0.35,0.4033763678212394,0.20569027709390506
419,area_0_110_circle_0.35,0.4027889147208666,0.16567685509601257
112,area_0_90_hull_0.15,0.40142651945130303,0.20666728597881667
100,area_0_110_circle_0.15,0.4002657404531242,0.39547624445488205
252,area_0_70_hull_0.35,0.39012942084186325,0.23320532028661933
369,area_0_70_hull_0.65,0.38369048192329097,0.16606373410171052
16,ALAS_rbg_full_std,-0.383552635483199,0.4298254508488433
227,area_0_110_hull_0.75,0.3765623989763416,0.22306922271886365
40,area_1_110_hull_0.45,0.37222829770826976,0.15602705448491505
145,area_1_110_hull_0.35,0.36986646001036516,0.12488038782333521
159,area_0_130_circle_0.35,0.3694534416731887,0.1802162444293778
74,ALAS_yuv_full_std,-0.3643938638686984,0.4082322827450202
108,area_0_110_hull_0.05,0.36207744034221423,0.21312956610965653
149,L_hsv_s_mode,-0.3606864922691237,0.296215153123317
120,min_catch,-0.3587794116191053,0.13837802517295367
254,area_1_110_ellipse_0.15,0.3538886489300241,0.1953566205153939
32,lnpc,0.3455318171817093,0.43591705795889235
385,area_1_90_ellipse_0.15,0.34493890548372735,0.14241296828931327
118,mean_iatch,-0.33947831273177353,0.15225814771750873
396,area_0_70_hull_0.05,0.33234336382574975,0.09202385839824878
241,L_rgb_b_mode,0.33113056817238284,0.24286559910545394
114,area_1_70_hull_0.55,0.3306036451017677,0.30361458281240133
330,max_iatch,-0.33050263489090737,0.22187978968173272
126,batch,-0.3292477557180349,0.3522275252259615
424,area_0_70_ellipse_0.05,0.3280501050707962,0.15095765878903128
239,max_catch,-0.3244158660430176,0.24688367316292512
425,area_1_110_hull_0.75,0.32066949101658976,0.18194706140315783
42,L_rbg_full_std,-0.31918905959372046,0.25554369141557054
44,ALAS_xyz_full_std,-0.3160399342158746,0.799556588300684
124,area_1_150_ellipse_0.45,0.30836078012377316,0.17920072198930953
233,I_hsv_s_Q95,-0.30805081489004255,0.2984637427514476
3,ALAS_hsv_s_std,-0.30137530035285093,0.850838067442264
365,ALAS_xyz_z_std,-0.29999483429134877,0.187119407790483
15,ALAS_rgb_b_std,-0.29699233318216145,0.246159057313304
172,L_yuv_full_std,-0.2968731142873121,0.208951843034843
402,L_hsv_s_Q5,-0.2925949069163219,0.15804416962302156
336,I_yuv_full_Q80,-0.291069503363804,0.21638732068637667
384,mean_iatah,-0.2891720265167902,0.24283239919872796
303,area_0_110_circle_0.75,0.2887204658876059,0.144205224270241
99,I_yuv_full_std,-0.2878837870697325,0.28077608186096376
351,L_sobelx_b_std,0.28646211950643286,0.22725590147753624
380,area_0_130_circle_0.65,0.2847835669984782,0.146514894969689
21,S_yuv_full_Q80,-0.28186965199279873,0.19950759992617872
167,ALAS_rgb_b_mode,0.2805077936333373,0.39160630222148246
408,ALAS_xyz_x_std,-0.27695405926668903,0.11002152044172081
250,I_yuv_full_Q85,-0.2767851593673773,0.2710668402902841
70,L_sobelx_g_Q90,0.27527271474155846,0.11094565793067142
46,L_rbg_full_mode,0.2719607458659597,0.2981390465382773
0,I_hsv_s_std,-0.2716783819546703,1.6019090606959168
209,I_xyz_z_Q5,0.27020901090490573,0.24619359714859054
43,I_yuv_full_Q75,-0.2691315429589019,0.32460815780887586
139,S_yuv_full_Q85,-0.2648420027004062,0.26188723887891124
138,min_mr,-0.2639288281688904,0.1098962719105233
80,I_rbg_full_std,-0.25410049192416184,0.15788413652258323
192,mean_mr,-0.25293403176901447,0.14787742016564412
132,max_iatah,-0.25282492730206513,0.18543780761274528
28,I_yuv_v_Q35,-0.2523778911155079,0.725144821234963
62,I_yuv_v_min,-0.251413654559277,0.28295926761147616
31,L_yuv_u_std,-0.2505984666568944,0.30769328661426665
101,L_xyz_full_std,-0.24960583993891258,0.20282598578547006
224,hu1,-0.24759397372203434,0.16642405305382435
4,I_rgb_b_std,-0.246503708335164,0.5792585118650381
49,I_xyz_z_std,-0.24644222129425564,0.3810358778759206
18,tatch,-0.24391296303805376,0.42013877494164953
38,cc,0.24294940184612882,0.4007571014054911
307,L_yuv_u_mean,0.240640061964718,0.23923980111844717
255,L_yuv_v_std,-0.24052293439928832,0.20703552660214264
291,I_xyz_full_std,-0.24046691623990607,0.29487961940901897
366,ALAS_yuv_full_Q20,0.2388332889063949,0.23479031814025486
91,I_sobelx_g_max,0.2380481365783136,0.1985393708507284
27,hu3,-0.2353879419498327,0.40526503487405385
342,S_laplacian_g_std,0.23532668842205914,0.09707487670201086
196,I_yuv_full_Q70,-0.23406448046549777,0.19272505311489738
337,hu4,-0.2330313393148464,0.26656845613192687
302,ALAS_yuv_u_Q30,0.23230229158631435,0.20948536133573584
300,I_laplacian_b_max,0.23178332678782101,0.16237265826646177
232,L_sobelx_r_Q95,0.23146113443531519,0.17374818123737668
130,I_laplacian_g_max,0.23006820594343005,0.32077914404247343
197,max_mr,-0.22931426416181788,0.1521746076483233
347,ALAS_yuv_v_mode,-0.22757390782349993,0.11151412485003563
309,L_sobelx2_r_Q95,0.22670702181240177,0.14756649147267029
371,S_sobelx_g_Q95,0.22451413603739204,0.14414175769563684
332,I_yuv_y_std,-0.2241017213439514,0.08894012753902333
404,I_xyz_x_std,-0.22364537846798557,0.1395098816163471
37,I_rgb_g_std,-0.22279451530709618,0.35888747717249436
400,I_sobely_b_max,0.2219256596513537,0.16127572974683646
378,L_sobelx_g_Q85,0.22191856974898494,0.2775114789750356
